question_id,question_number,price,human_purchase_share,respondents,question
QID9_15,15,7.4,0.437125748502994,167,"Please consider the following product category: Frozen Novelties. Suppose you are in a grocery store, and you see the following product in that category: Pop-Ice Assorted Fruit Freezer Ice Pops, Gluten-Free Snack, 1.5 oz, 80 Count Fruit Pops. The product is priced at: $7.40. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_16,16,11.56,0.437125748502994,167,"Please consider the following product category: Soft Drinks - Carbonated. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Soda Pop, 12 fl oz, 12 Pack Cans. The product is priced at: $11.56. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_17,17,0.0,0.4550898203592814,167,"Please consider the following product category: Toilet Tissue. Suppose you are in a grocery store, and you see the following product in that category: Angel Soft Toilet Paper, 9 Mega Rolls, Soft and Strong Toilet Tissue. The product is priced at: $0.00. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_18,18,19.57,0.39520958083832336,167,"Please consider the following product category: Baby Milk and Milk Flavoring. Suppose you are in a grocery store, and you see the following product in that category: Horizon Organic Shelf-Stable Whole Milk Boxes, 8 oz., 12 Pack. The product is priced at: $19.57. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_19,19,15.89,0.437125748502994,167,"Please consider the following product category: Ground and Whole Bean Coffee. Suppose you are in a grocery store, and you see the following product in that category: Folgers Classic Roast Ground Coffee, Medium Roast, 40.3-Ounce Canister. The product is priced at: $15.89. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_20,20,5.19,0.4431137724550898,167,"Please consider the following product category: Frozen Foods. Suppose you are in a grocery store, and you see the following product in that category: Great Value All Natural Chicken Wing Sections, 4 lb (Frozen). The product is priced at: $5.19. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_21,21,0.0,0.40718562874251496,167,"Please consider the following product category: Yogurt - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic. The product is priced at: $0.00. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_22,22,5.49,0.40119760479041916,167,"Please consider the following product category: Dairy - Milk - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Great Value Milk Whole Vitamin D Gallon. The product is priced at: $5.49. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_23,23,9.32,0.40119760479041916,167,"Please consider the following product category: Soft Drinks - Low Calorie. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Zero Sugar Soda Pop, 16.9 fl oz, 6 Pack Cans. The product is priced at: $9.32. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_24,24,8.87,0.40718562874251496,167,"Please consider the following product category: Paper Towels. Suppose you are in a grocery store, and you see the following product in that category: Bounty Select-a-Size Paper Towels, 12 Double Rolls, White. The product is priced at: $8.87. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_25,25,12.96,0.4251497005988024,167,"Please consider the following product category: Candy - Non-Chocolate. Suppose you are in a grocery store, and you see the following product in that category: HARIBO Goldbears Original Gummy Bears, 28.8oz Stand Up Bag. The product is priced at: $12.96. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_26,26,5.36,0.39520958083832336,167,"Please consider the following product category: Bakery - Fresh Cakes. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Zebra Cakes, 13 oz. The product is priced at: $5.36. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_27,27,8.72,0.3712574850299401,167,"Please consider the following product category: Fruit Drinks. Suppose you are in a grocery store, and you see the following product in that category: Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches. The product is priced at: $8.72. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_28,28,11.88,0.3712574850299401,167,"Please consider the following product category: Snacks - Tortilla Chips. Suppose you are in a grocery store, and you see the following product in that category: Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag. The product is priced at: $11.88. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_29,29,4.27,0.39520958083832336,167,"Please consider the following product category: Refrigerated Bacon. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box. The product is priced at: $4.27. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_30,30,17.95,0.38922155688622756,167,"Please consider the following product category: Soup. Suppose you are in a grocery store, and you see the following product in that category: Maruchan Ramen Noodle Chicken Flavor Soup, 3 Oz, 12 Count Shelf Stable Package. The product is priced at: $17.95. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_31,31,16.78,0.40718562874251496,167,"Please consider the following product category: Light Beer (Low Calorie/Alcohol). Suppose you are in a grocery store, and you see the following product in that category: Bud Light Beer, 24 Pack, 12 fl oz Aluminum Cans, 4.2% ABV, Domestic Lager. The product is priced at: $16.78. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_32,32,11.66,0.4431137724550898,167,"Please consider the following product category: Candy - Chocolate. Suppose you are in a grocery store, and you see the following product in that category: Hershey's Milk Chocolate Candy, Bars 1.55 oz, 6 Count. The product is priced at: $11.66. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_33,33,25.55,0.46706586826347307,167,"Please consider the following product category: Batteries. Suppose you are in a grocery store, and you see the following product in that category: Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack. The product is priced at: $25.55. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_34,34,3.82,0.4550898203592814,167,"Please consider the following product category: Fresh Eggs. Suppose you are in a grocery store, and you see the following product in that category: Eggland's Best Classic Extra Large White Eggs, 12 count. The product is priced at: $3.82. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_35,35,11.32,0.3772455089820359,167,"Please consider the following product category: Fruit Juice. Suppose you are in a grocery store, and you see the following product in that category: Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches. The product is priced at: $11.32. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_36,36,7.49,0.4431137724550898,167,"Please consider the following product category: Cold Remedies - Adult. Suppose you are in a grocery store, and you see the following product in that category: Equate Value Size Honey Lemon Cough Drops with Menthol, 160 Count. The product is priced at: $7.49. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_37,37,3.75,0.40718562874251496,167,"Please consider the following product category: Cookies. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Oatmeal Creme Pies, 12 ct, 16.2 oz. The product is priced at: $3.75. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_38,38,5.52,0.437125748502994,167,"Please consider the following product category: Frankfurters - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Classic Uncured Beef Franks Hot Dogs, 10 ct Pack. The product is priced at: $5.52. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_39,39,3.34,0.4251497005988024,167,"Please consider the following product category: Ice Cream. Suppose you are in a grocery store, and you see the following product in that category: Haagen Dazs Coffee Ice Cream, Gluten Free, Kosher, 14.0 oz. The product is priced at: $3.34. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_40,40,5.98,0.40119760479041916,167,"Please consider the following product category: Detergents - Heavy Duty - Liquid. Suppose you are in a grocery store, and you see the following product in that category: Purex Liquid Laundry Detergent Plus OXI, Stain Defense Technology, 128 Fluid Ounces, 85 Wash Loads. The product is priced at: $5.98. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
